customer_id,loan_count,total_amount_overdue,maturity_dpd,total_missed_installment,has_14plus_dpd,count_14plus_dpd,tenor_in_months,ontime_repayment_rate,age,gender,marital_status,state,location,purpose,employment_status,dw_channel_key,total_loan_amount,income
44,2,10840.0,1,1,0,0,1.0,33.33,26,Female,,Lagos,Ikeja,Uncategorized,EMPLOYED,WEB,33444.33,254.92
83,1,0.0,0,2,0,0,6.0,41.74,43,Male,Married,Lagos,Ifako-Ijaiye,Personal,EMPLOYED,oxygen,3449762.04,2798419.0
104,1,0.0,0,0,0,0,12.0,16.66,42,Male,Married,Lagos,Isolo,Personal,EMPLOYED,FSA,4419222.1,2847885.0
105,3,0.0,0,4,0,0,9.0,32.63,28,Female,Single,Ogun,Ogun,Personal,EMPLOYED,oxygen,3376049.42,200857.0
110,1,0.0,0,0,0,0,12.0,0.0,24,Female,Single,Lagos,Lagos ,Personal,SELF_EMPLOYED,FSA,652267.75,200907.0
114,1,0.0,0,5,0,0,6.0,31.86,26,Female,Single,Lagos,Ikota,Housing,EMPLOYED,oxygen,2310442.62,201107.0
117,3,547783.6,0,12,1,1,12.0,0.0,28,Male,Single,Kwara,Ilorin ,Personal,SELF_EMPLOYED,oxygen,7552396.72,201106.86
118,1,0.0,0,10,0,0,12.0,18.21,30,Female,Single,Lagos,Lagos ,Utilities,SELF_EMPLOYED,oxygen,5312680.65,200857.0
119,1,0.0,0,36,0,0,12.0,15.19,31,Female,Single,Lagos,Shasha,Housing,EMPLOYED,oxygen,9285154.3,201107.0
124,3,0.0,0,3,0,0,12.0,21.87,30,Female,Single,Ogun,Sango ota,Housing,EMPLOYED,oxygen,7677417.63,201106.86
126,1,64012.0,0,37,0,0,12.0,11.9,29,Female,Single,Lagos,Lagos ,Personal,SELF_EMPLOYED,oxygen,7798466.5,200941.0
127,1,0.0,0,8,0,0,12.0,41.25,28,Female,Single,Lagos,Ayobo,Personal,SELF_EMPLOYED,FSA,4115160.27,136403.0
128,1,226833.33,81,42,1,5,7.0,0.0,28,Female,Single,Lagos,Victoria Island ,Utilities,SELF_EMPLOYED,oxygen,1327691.6,200857.0
130,1,0.0,0,0,0,0,12.0,100.0,28,Male,Single,Lagos,Surulere,Personal,EMPLOYED,oxygen,649332.59,200941.0
131,1,1297421.76,0,36,1,5,12.0,19.5,30,Female,Single,Lagos,Lagos ,Utilities,EMPLOYED,FSA,9764872.7,200857.0
139,1,11160.5,10,1,0,0,1.0,0.0,30,Male,,Lagos,Surulere,Uncategorized,SELF_EMPLOYED,WEB,22495.0,550000.0
143,1,0.0,0,0,0,0,1.0,0.0,40,Female,,Lagos,Lagos,Travel & Hospitality,SELF_EMPLOYED,WEB,11087.5,3441.37
144,2,0.0,0,0,0,0,12.0,51.42,34,Male,Single,Ogun,Ogun,Personal,EMPLOYED,FSA,9493814.9,201107.0
156,1,25081.0,0,7,0,0,12.0,52.13,29,Female,Single,Lagos,Yaba,Personal,SELF_EMPLOYED,FSA,3048629.3,159714.0
161,1,0.0,0,0,0,0,1.0,0.0,26,Female,Single,Ogun,Ogun,Personal,EMPLOYED,FSA,60000.0,209855.0
164,4,359416.0,0,2,0,0,5.0,14.28,42,Male,Single,Lagos,Lagos,Personal,SELF_EMPLOYED,FSA,9181388.77,166666.67
165,3,0.0,0,1,0,0,4.0,26.38,39,Female,Married,Lagos,Mushin,Utilities,SELF_EMPLOYED,FSA,2174432.4,3196702.63
169,2,347836.14,7,6,0,0,3.0,13.09,26,Female,Single,Lagos,Ebute Metta ,Emergency Funds,SELF_EMPLOYED,FSA,1747814.85,3089434.48
178,2,0.0,0,0,0,0,6.0,25.0,41,Male,Married,Lagos,Lagos Mainland Local Government Area,Personal,SELF_EMPLOYED,oxygen,1822191.64,12559097.64
183,1,5366.87,9,3,0,0,2.0,0.0,32,Male,Single,Lagos,araromi,Retail/Home Goods,EMPLOYED,oxygen,31880.19,1125016.0
184,1,0.0,0,0,0,0,12.0,73.0,31,Male,Single,Lagos,city,Uncategorized,EMPLOYED,oxygen,166968.01,656149.24
186,2,1118282.38,0,38,0,0,10.0,17.41,29,Female,Single,Lagos,Ikorodu ,Personal,EMPLOYED,FSA,9101921.97,171806.0
187,1,0.0,0,0,0,0,3.0,27.77,33,Male,Married,Ondo,Akure,Personal,SELF_EMPLOYED,FSA,754843.38,3143034.57
189,1,0.0,0,3,0,0,3.0,0.0,28,Male,Single,Ondo,Akure,Personal,SELF_EMPLOYED,FSA,1017739.56,1584872.23
195,1,1615952.9,0,36,1,8,12.0,0.0,26,Male,Single,Ogun,olosun,Personal,EMPLOYED,WEB,8635210.02,200941.0
197,4,170721.22,80,10,1,4,2.0,0.0,29,Male,Single,Lagos,Lagos,Personal,SELF_EMPLOYED,FSA,725824.69,870198.23
199,1,0.0,0,0,0,0,2.0,0.0,45,Female,,Lagos,Lekki,Travel & Hospitality,SELF_EMPLOYED,WEB,53108.79,2989310.0
200,2,2690762.08,0,55,0,0,10.0,0.0,31,Male,Single,Lagos,Oshodi,Housing,EMPLOYED,FSA,10013774.7,174163.0
202,3,0.0,0,0,0,0,2.0,0.0,35,Female,Married,Lagos,Surulere ,Personal,SELF_EMPLOYED,oxygen,968003.0,14826214.82
205,1,0.0,0,1,0,0,3.0,19.44,46,Female,,Lagos,Lagos,Personal,EMPLOYED,FSA,932943.09,77419.0
206,1,0.0,0,1,0,0,2.0,0.0,32,Male,Single,Federal Capital Territory,Lugbe ,Personal,SELF_EMPLOYED,FSA,118993.16,1537403.34
207,3,48895.41,0,22,1,5,6.0,4.48,25,Female,Single,Ondo,Ondo ,Housing,EMPLOYED,FSA,2968644.83,149732.32
209,1,0.0,0,2,0,0,3.0,8.33,33,Male,Married,Lagos,Lagos,Utilities,EMPLOYED,FSA,135711.15,78737.43
210,2,702389.0,33,17,1,1,5.0,21.03,28,Female,Married,Lagos,Lagos,Personal,SELF_EMPLOYED,FSA,14278631.97,4572757.52
211,2,487406.58,0,36,0,0,9.0,17.31,33,Male,Single,Ogun,Sango ota ,Retail/Home Goods,EMPLOYED,FSA,3337120.34,91905.89
212,1,18435.02,5,6,0,0,3.0,0.0,29,Male,Single,Lagos,Lagos,Personal,EMPLOYED,FSA,219042.0,120023.24
213,1,0.0,0,0,0,0,6.0,50.0,36,Male,Married,Lagos,Yaba,Personal,EMPLOYED,FSA,1536855.16,532244.35
214,2,0.0,0,0,0,0,2.0,11.11,33,Male,,Lagos,Lagos,Transportation,EMPLOYED,WEB,36598.64,1155104.82
217,3,1667497.12,88,21,1,4,3.0,0.0,39,Male,Married,Lagos,Lagos Oshodi ,Personal,SELF_EMPLOYED,FSA,6579971.69,2405647.11
218,3,4304855.54,0,19,1,1,3.0,0.0,33,Male,Married,Lagos,Lagos,Personal,SELF_EMPLOYED,FSA,15096858.24,13459408.06
222,2,0.0,0,4,0,0,8.0,19.2,28,Female,Single,Kogi,Lokoja,Personal,EMPLOYED,FSA,1302921.16,136979.58
224,2,133645.0,0,7,0,0,5.0,24.94,41,Male,Single,Lagos,Lagos,Personal,SELF_EMPLOYED,FSA,4639547.37,1885162.06
225,1,0.0,0,1,0,0,2.0,0.0,34,Male,Married,Lagos,Lagos mainland ,Personal,SELF_EMPLOYED,FSA,71581.54,966541.43
226,1,483189.02,30,5,0,0,3.0,22.33,39,Male,Married,Lagos,Lagos ,Personal,SELF_EMPLOYED,FSA,2094622.4,350000.0
