customer_id,loan_count,total_amount_overdue,maturity_dpd,total_missed_installment,has_14plus_dpd,count_14plus_dpd,tenor_in_months,ontime_repayment_rate,age,gender,marital_status,state,location,purpose,employment_status,dw_channel_key,total_loan_amount,income,income_bracket,age_category,missed_payment_ratio,overdue_utilization,monthly_loan_volume,repayment_efficiency,segment
44,2,10840.0,1,1,0,0,1.0,33.33,26,Unknown,2,Lagos,Ikeja,12,0,5,33444.33,254.92,<69k,18-28,0.9999990000010001,0.3241207104365936,33444.29655570345,0.3333,High Risk
83,1,0.0,0,2,0,0,6.0,41.74,43,Unknown,1,Lagos,Ifako-Ijaiye,8,0,7,3449762.04,2798419.0,1.2M and above,37-44,0.33333327777778704,0.0,574960.2441732927,0.4174,Low Risk - High Value
104,1,0.0,0,0,0,0,12.0,16.66,42,Unknown,1,Lagos,Isolo,8,0,1,4419222.1,2847885.0,1.2M and above,37-44,0.0,0.0,368268.4776442935,0.1666,Low Risk - High Value
105,3,0.0,0,4,0,0,9.0,32.63,28,Unknown,4,Ogun,Ogun,8,0,7,3376049.42,200857.0,150k - 299k,18-28,0.44444439506173394,0.0,375116.5605426044,0.32630000000000003,Medium Risk - High Value
110,1,0.0,0,0,0,0,12.0,0.0,24,Unknown,4,Lagos,Lagos ,8,2,1,652267.75,200907.0,150k - 299k,18-28,0.0,0.0,54355.64130369656,0.0,Low Risk - Low Value
114,1,0.0,0,5,0,0,6.0,31.86,26,Unknown,4,Lagos,Ikota,7,0,7,2310442.62,201107.0,150k - 299k,18-28,0.8333331944444675,0.0,385073.70582104905,0.3186,High Risk
117,3,547783.6,0,12,1,1,12.0,0.0,28,Unknown,4,Kwara,Ilorin ,8,2,7,7552396.72,201106.86,150k - 299k,18-28,0.9999999166666736,0.07253109447353388,629366.3408861383,0.0,High Risk
118,1,0.0,0,10,0,0,12.0,18.21,30,Unknown,4,Lagos,Lagos ,13,2,7,5312680.65,200857.0,150k - 299k,28-33,0.8333332638888947,0.0,442723.3506063875,0.1821,High Risk
124,3,0.0,0,3,0,0,12.0,21.87,30,Unknown,4,Ogun,Sango ota,7,0,7,7677417.63,201106.86,150k - 299k,28-33,0.2499999791666684,0.0,639784.7491846043,0.2187,Low Risk - High Value
127,1,0.0,0,8,0,0,12.0,41.25,28,Unknown,4,Lagos,Ayobo,8,2,1,4115160.27,136403.0,70k - 149k,18-28,0.6666666111111158,0.0,342929.9939225005,0.4125,Medium Risk - High Value
130,1,0.0,0,0,0,0,12.0,100.0,28,Unknown,4,Lagos,Surulere,8,0,7,649332.59,200941.0,150k - 299k,18-28,0.0,0.0,54111.044657412946,1.0,Low Risk - Low Value
139,1,11160.5,10,1,0,0,1.0,0.0,30,Unknown,2,Lagos,Surulere,12,2,5,22495.0,550000.0,500k - 799k,28-33,0.9999990000010001,0.4961324738610299,22494.977505022496,0.0,High Risk
143,1,0.0,0,0,0,0,1.0,0.0,40,Unknown,2,Lagos,Lagos,11,2,5,11087.5,3441.37,<69k,37-44,0.0,0.0,11087.488912511088,0.0,Low Risk - Low Value
144,2,0.0,0,0,0,0,12.0,51.42,34,Unknown,4,Ogun,Ogun,8,0,1,9493814.9,201107.0,150k - 299k,33-37,0.0,0.0,791151.175737402,0.5142,Low Risk - High Value
156,1,25081.0,0,7,0,0,12.0,52.13,29,Unknown,4,Lagos,Yaba,8,2,1,3048629.3,159714.0,150k - 299k,28-33,0.5833332847222263,0.008226975972444987,254052.42049563164,0.5213,Medium Risk - Low Value
161,1,0.0,0,0,0,0,1.0,0.0,26,Unknown,4,Ogun,Ogun,8,0,1,60000.0,209855.0,150k - 299k,18-28,0.0,0.0,59999.94000006001,0.0,Low Risk - Low Value
164,4,359416.0,0,2,0,0,5.0,14.28,42,Unknown,4,Lagos,Lagos,8,2,1,9181388.77,166666.67,150k - 299k,37-44,0.399999920000016,0.039146147603981794,1836277.3867445225,0.14279999999999998,Low Risk - Low Value
165,3,0.0,0,1,0,0,4.0,26.38,39,Unknown,1,Lagos,Mushin,13,2,1,2174432.4,3196702.63,1.2M and above,37-44,0.24999993750001562,0.0,543607.9640980089,0.2638,Low Risk - High Value
178,2,0.0,0,0,0,0,6.0,25.0,41,Unknown,1,Lagos,Lagos Mainland Local Government Area,8,2,7,1822191.64,12559097.64,1.2M and above,37-44,0.0,0.0,303698.55605024064,0.25,Low Risk - Low Value
184,1,0.0,0,0,0,0,12.0,73.0,31,Unknown,4,Lagos,city,12,0,7,166968.01,656149.24,500k - 799k,28-33,0.0,0.0,13913.999673833363,0.73,Low Risk - Low Value
187,1,0.0,0,0,0,0,3.0,27.77,33,Unknown,1,Ondo,Akure,8,2,1,754843.38,3143034.57,1.2M and above,28-33,0.0,0.0,251614.37612854128,0.2777,Low Risk - Low Value
189,1,0.0,0,3,0,0,3.0,0.0,28,Unknown,4,Ondo,Akure,8,2,1,1017739.56,1584872.23,1.2M and above,18-28,0.9999996666667778,0.0,339246.40691786434,0.0,High Risk
199,1,0.0,0,0,0,0,2.0,0.0,45,Unknown,2,Lagos,Lekki,11,2,5,53108.79,2989310.0,1.2M and above,44-65,0.0,0.0,26554.381722809136,0.0,Low Risk - Low Value
202,3,0.0,0,0,0,0,2.0,0.0,35,Unknown,1,Lagos,Surulere ,8,2,7,968003.0,14826214.82,1.2M and above,33-37,0.0,0.0,484001.257999371,0.0,Low Risk - Low Value
205,1,0.0,0,1,0,0,3.0,19.44,46,Unknown,2,Lagos,Lagos,8,0,1,932943.09,77419.0,70k - 149k,44-65,0.33333322222225925,0.0,310980.9263396912,0.19440000000000002,Low Risk - Low Value
206,1,0.0,0,1,0,0,2.0,0.0,32,Unknown,4,Federal Capital Territory,Lugbe ,8,2,1,118993.16,1537403.34,1.2M and above,28-33,0.499999750000125,0.0,59496.550251724875,0.0,Medium Risk - Low Value
209,1,0.0,0,2,0,0,3.0,8.33,33,Unknown,1,Lagos,Lagos,13,0,1,135711.15,78737.43,70k - 149k,28-33,0.6666664444445185,0.0,45237.03492098836,0.0833,Medium Risk - Low Value
213,1,0.0,0,0,0,0,6.0,50.0,36,Unknown,1,Lagos,Yaba,8,0,1,1536855.16,532244.35,500k - 799k,33-37,0.0,0.0,256142.48397625264,0.5,Low Risk - Low Value
214,2,0.0,0,0,0,0,2.0,11.11,33,Unknown,2,Lagos,Lagos,10,0,5,36598.64,1155104.82,800k - 1.19M,28-33,0.0,0.0,18299.310850344573,0.11109999999999999,Low Risk - Low Value
222,2,0.0,0,4,0,0,8.0,19.2,28,Unknown,4,Kogi,Lokoja,8,0,1,1302921.16,136979.58,70k - 149k,18-28,0.4999999375000079,0.0,162865.12464185944,0.192,Medium Risk - Low Value
225,1,0.0,0,1,0,0,2.0,0.0,34,Unknown,1,Lagos,Lagos mainland ,8,2,1,71581.54,966541.43,800k - 1.19M,33-37,0.499999750000125,0.0,35790.75210462394,0.0,Medium Risk - Low Value
228,1,0.0,0,2,0,0,3.0,8.33,49,Unknown,1,Lagos,Allen ikeja,4,0,1,157139.1,79291.39,70k - 149k,44-65,0.6666664444445185,0.0,52379.682540105816,0.0833,Medium Risk - Low Value
237,1,0.0,0,1,0,0,3.0,19.44,33,Unknown,4,Lagos,Lagos,8,0,1,135711.15,50000.0,<69k,28-33,0.33333322222225925,0.0,45237.03492098836,0.19440000000000002,Low Risk - Low Value
248,1,0.0,0,1,0,0,3.0,19.44,33,Unknown,1,Lagos,Lagos,8,2,1,118352.13,421511.39,300k - 499k,28-33,0.33333322222225925,0.0,39450.696849767715,0.19440000000000002,Low Risk - Low Value
250,2,0.0,0,0,0,0,5.0,42.91,54,Unknown,1,Lagos,Lagos Island ,8,2,1,10176784.49,4539839.53,1.2M and above,44-65,0.0,0.0,2035356.4909287018,0.4291,Low Risk - High Value
253,1,0.0,0,1,0,0,3.0,19.44,31,Unknown,1,Lagos,Lagos mainland ,8,2,1,164281.5,60227.0,<69k,28-33,0.33333322222225925,0.0,54760.481746506084,0.19440000000000002,Low Risk - Low Value
257,1,0.0,0,0,0,0,3.0,16.66,31,Unknown,1,Rivers,Port Harcourt ,8,0,1,70793.84,41369.0,<69k,28-33,0.0,0.0,23597.938800687065,0.1666,Low Risk - Low Value
266,1,0.0,0,1,0,0,3.0,19.44,34,Unknown,4,Oyo,Ibadan,8,2,1,179361.0,1213082.18,1.2M and above,33-37,0.33333322222225925,0.0,59786.98007100664,0.19440000000000002,Low Risk - Low Value
270,1,0.0,0,3,0,0,3.0,0.0,29,Unknown,1,Lagos,Lagos,8,2,1,1464951.81,1.18,<69k,28-33,0.9999996666667778,0.0,488317.1072276309,0.0,High Risk
271,1,373091.38,3,3,0,0,3.0,21.66,37,Unknown,1,Lagos,Ikeja ,2,2,1,4477097.52,12963.17,<69k,33-37,0.9999996666667778,0.08333331546459517,1492365.3425448856,0.21660000000000001,High Risk
275,2,0.0,0,1,0,0,4.0,34.28,32,Unknown,4,Lagos,Lagos ,8,0,1,3418618.04,497381.0,300k - 499k,28-33,0.24999993750001562,0.0,854654.2963364259,0.3428,Low Risk - High Value
279,2,0.0,0,3,0,0,3.0,13.88,32,Unknown,4,Lagos,Lagos,8,2,1,7745011.53,5520214.51,1.2M and above,28-33,0.9999996666667778,0.0,2581669.6494434504,0.1388,High Risk
285,1,0.0,0,0,0,0,3.0,27.77,31,Unknown,1,Ondo,Akure,8,2,1,1464951.81,201833.33,150k - 299k,28-33,0.0,0.0,488317.1072276309,0.2777,Low Risk - High Value
289,3,0.0,0,0,0,0,9.0,52.38,30,Unknown,4,Lagos,Lagos ,8,0,1,9898744.5,247857.0,150k - 299k,28-33,0.0,0.0,1099860.3777932914,0.5238,Low Risk - High Value
292,1,48776.69,0,1,0,0,3.0,22.22,58,Unknown,1,Lagos,Alagbado,8,2,1,1518923.52,3364339.29,1.2M and above,44-65,0.33333322222225925,0.03211267016259508,506307.67123077624,0.22219999999999998,Low Risk - High Value
299,2,104945.0,0,4,0,0,4.0,19.44,36,Unknown,1,Lagos,Lagos mainland ,8,2,1,2385990.42,1158556.86,800k - 1.19M,33-37,0.9999997500000625,0.04398383125107268,596497.455875636,0.19440000000000002,High Risk
303,2,0.0,0,3,0,0,3.0,30.0,34,Unknown,4,Lagos,Ojota,8,0,1,576509.27,295654.51,150k - 299k,33-37,0.9999996666667778,0.0,192169.69261010247,0.3,High Risk
